Zeit				192.168.178.1	192.168.178.20	192.168.178.33	192.168.178.34	192.168.178.23	192.168.178.30
15:41:34			2.514			-100			5.855			904.202
15:41:43			2.497			-100			29.396			12.958
15:41:47			1.485			-100			221.307			-100			451.549
15:41:53			2.437			-100			146.002			490.422			62.704
15:41:58			13.336			-100			3.240			480.343			192.493
15:42:03			2.071			-100			2.971			233.705			374.712
15:42:08			1.815			-100			15.744			297.582			297.630
15:42:13			7.684			-100			6.921			898.381			506.774
15:42:19			1.748			-100			144.573			576.105			922.982
15:42:25			1.561			-100			8.338			233.812			85.417			-100
15:42:31			1.716			-100			4.278			330.093			483.975			8.349
15:42:36			1.806			-100			16.490			601.871			7.586			41.257
15:42:41			2.096			-100			37.094			-100			632.354			-100
15:42:48			1.614			-100			242.905			161.963			818.076			-100
15:42:55			4.008			-100			4.819			336.553			285.037			-100
15:43:00			3.963			-100			9.265			806.910			669.883			-100
15:43:07			1.623			-100			3.777			361.825			490.280			-100
15:43:13			2.273			-100			20.685			705.367			601.249			-100
15:43:20			1.475			-100			185.663			284.520			798.569			-100
15:43:27			7.518			-100			4.551			289.904			289.278			-100
15:43:33			2.725			-100			5.302			803.933			719.495			-100
15:43:40			1.536			-100			6.307			374.741			798.971			-100
15:43:46			8.502			-100			208.203			294.388			6.929			-100
15:43:52			6.363			-100			141.130			897.258			738.437			-100
15:43:59			9.390			-100			13.625			364.318			177.080			-100
15:44:05			1.401			-100			6.568			371.820			487.480			-100
15:44:12			2.310			-100			8.589			682.360			783.461			-100
15:44:19			2.460			-100			140.644			-100			76.729			-100
15:44:25			4.896			-100			42.613			869.810			504.769			-100
15:44:32			2.707			-100			2.087			654.335			605.423			-100
15:44:39			2.768			-100			31.024			393.865			900.081			-100
15:44:46			6.373			-100			194.686			-100			11.637			-100
